, Total Estimate ,Total MOE3, White Estimate ,White MOE3, White Percent ,White MOE3, Black Estimate ,Black MOE3, Black Percent ,Black MOE3, Asian Estimate ,Asian MOE3, Asian Percent ,Asian MOE3, Hispanic Estimate ,Hispanic MOE3, Hispanic Percent ,Hispanic MOE3
Civilian employed age 25 and over,"  125,850,932 ","  110,885 ","  84,585,827 ","  87,602 ",  67.2 , <0.1 ,"  13,908,136 ","  18,828 ",  11.0 , <0.1 ,"  7,438,127 ","  12,386 ",  5.9 , <0.1 ,"  19,918,842 ","  21,369 ",  15.8 , <0.1 
Total STEM2,"  7,980,038 ","  56,753 ","  5,636,170 ","  36,858 ",  70.6 ,  0.1 ,"  506,349 ","  6,731 ",  6.3 ,  0.1 ,"  1,277,489 ","  10,497 ",  16.0 ,  0.1 ,"  560,030 ","  9,645 ",  7.0 ,  0.1 
.Computer Occupations:,"  4,120,460 ","  29,899 ","  2,770,054 ","  19,574 ",  67.2 ,  0.2 ,"  297,152 ","  4,704 ",  7.2 ,  0.1 ,"  779,826 ","  6,772 ",  18.9 ,  0.1 ,"  273,428 ","  5,571 ",  6.6 ,  0.1 
..Computer and information systems managers,"  545,580 ","  7,154 ","  406,290 ","  5,757 ",  74.5 ,  0.5 ,"  31,960 ","  1,477 ",  5.9 ,  0.3 ,"  73,825 ","  1,905 ",  13.5 ,  0.3 ,"  33,510 ","  1,467 ",  6.1 ,  0.2 
..Computer and information research scientists,"  15,875 ",  912 ,"  10,985 ",  742 ,  69.2 ,  2.8 ,"  1,140 ",  330 ,  7.2 ,  2.0 ,"  2,805 ",  311 ,  17.7 ,  1.8 ,  950 ,  274 ,  6.0 ,  1.7 
..Computer systems analysts,"  473,135 ","  5,172 ","  310,130 ","  3,795 ",  65.5 ,  0.5 ,"  40,245 ","  1,616 ",  8.5 ,  0.3 ,"  90,685 ","  2,190 ",  19.2 ,  0.4 ,"  32,075 ","  1,394 ",  6.8 ,  0.3 
..Information security analysts,"  59,930 ","  1,630 ","  42,700 ","  1,373 ",  71.3 ,  1.3 ,"  7,445 ",  622 ,  12.4 ,  0.9 ,"  4,830 ",  415 ,  8.1 ,  0.7 ,"  4,955 ",  506 ,  8.3 ,  0.8 
..Computer programmers,"  411,880 ","  5,469 ","  293,095 ","  4,124 ",  71.2 ,  0.5 ,"  19,220 ","  1,013 ",  4.7 ,  0.2 ,"  78,830 ","  2,122 ",  19.1 ,  0.4 ,"  20,740 ","  1,057 ",  5.0 ,  0.2 
"..Software developers, applications and systems software","  1,050,915 ","  9,784 ","  613,055 ","  6,411 ",  58.3 ,  0.3 ,"  47,520 ","  1,795 ",  4.5 ,  0.2 ,"  340,775 ","  4,240 ",  32.4 ,  0.3 ,"  49,565 ","  1,930 ",  4.7 ,  0.2 
..Web developers,"  164,665 ","  3,254 ","  127,710 ","  2,775 ",  77.6 ,  0.7 ,"  8,885 ",  701 ,  5.4 ,  0.4 ,"  15,760 ",  776 ,  9.6 ,  0.5 ,"  12,310 ",  809 ,  7.5 ,  0.5 
..Computer support specialists,"  527,025 ","  6,109 ","  366,445 ","  4,285 ",  69.5 ,  0.5 ,"  58,775 ","  1,850 ",  11.2 ,  0.3 ,"  51,515 ","  1,818 ",  9.8 ,  0.3 ,"  50,290 ","  2,093 ",  9.5 ,  0.3 
..Database administrators,"  107,220 ","  2,630 ","  73,540 ","  1,955 ",  68.6 ,  0.9 ,"  7,320 ",  575 ,  6.8 ,  0.5 ,"  19,140 ",  954 ,  17.8 ,  0.8 ,"  7,220 ",  575 ,  6.7 ,  0.5 
